Issue key,Summary,Description,Status,Priority,Created,Updated,Sprint,Assignee
PHX-101,Set up database schema part 1,Define database models and relationships for module 1,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-102,Set up database schema part 2,Define database models and relationships for module 2,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-103,Set up database schema part 3,Define database models and relationships for module 3,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-104,Set up database schema part 4,Define database models and relationships for module 4,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-105,Set up database schema part 5,Define database models and relationships for module 5,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-106,Set up database schema part 6,Define database models and relationships for module 6,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-107,Set up database schema part 7,Define database models and relationships for module 7,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-108,Set up database schema part 8,Define database models and relationships for module 8,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-109,Set up database schema part 9,Define database models and relationships for module 9,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-110,Set up database schema part 10,Define database models and relationships for module 10,Done,Medium,2026-04-02 09:00:00,2026-04-10 17:00:00,Sprint 1,Developer A
PHX-111,Implement user authentication subtask 1,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-112,Implement user authentication subtask 2,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-113,Implement user authentication subtask 3,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-114,Implement user authentication subtask 4,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-115,Implement user authentication subtask 5,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-116,Implement user authentication subtask 6,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-117,Implement user authentication subtask 7,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-118,Implement user authentication subtask 8,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-119,Implement user authentication subtask 9,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
PHX-120,Implement user authentication subtask 10,"Build secure login, token validation, and password reset flows.",Done,High,2026-04-16 10:00:00,2026-04-28 18:00:00,Sprint 2,Developer B
